[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
,,[mm],[mm],[mm],[deg],[deg],[mm],[mm]
143,AxialGradioMeter,15.08,120.08,-61.63,88.19,82.88,15.50,50.00
144,AxialGradioMeter,116.20,-31.27,56.57,65.31,338.16,15.50,50.00
145,AxialGradioMeter,49.16,-18.93,115.21,24.60,332.35,15.50,50.00
146,AxialGradioMeter,14.21,-51.61,116.20,32.54,280.23,15.50,50.00
147,AxialGradioMeter,13.96,-118.06,-66.12,91.19,272.40,15.50,50.00
148,AxialGradioMeter,37.24,-111.27,-67.28,92.32,283.96,15.50,50.00
149,AxialGradioMeter,58.61,-102.46,-68.62,94.69,291.52,15.50,50.00
150,AxialGradioMeter,79.99,-91.47,-69.58,95.60,305.20,15.50,50.00
151,AxialGradioMeter,83.10,-37.08,91.73,45.94,324.48,15.50,50.00
152,AxialGradioMeter,36.72,113.45,-63.74,90.27,71.60,15.50,50.00
153,AxialGradioMeter,57.72,103.72,-68.48,94.45,64.06,15.50,50.00
154,AxialGradioMeter,83.08,79.90,37.27,72.52,51.85,15.50,50.00
155,AxialGradioMeter,41.40,102.46,36.50,74.21,74.07,15.50,50.00
156,AxialGradioMeter,89.42,-14.61,93.56,44.29,344.45,15.50,50.00
157,AxialGradioMeter,0,0.00,0.00,0.00,0.00,0.00,4.00		
158,AxialGradioMeter,0,0.00,0.00,0.00,0.00,0.00,4.00
159,AxialGradioMeter,0,0.00,0.00,0.00,0.00,0.00,4.00
160,Null Channel
161,Null Channel
162,Null Channel
163,Null Channel
164,Null Channel
165,Null Channel
166,Null Channel
167,Null Channel
168,Null Channel
169,Null Channel
170,Null Channel
171,Null Channel
172,Null Channel
173,Null Channel
174,Null Channel
175,Null Channel
176,Null Channel
177,Null Channel
178,Null Channel
179,Null Channel
180,Null Channel
181,Null Channel
182,Null Channel
183,Null Channel
184,Null Channel
185,Null Channel
186,Null Channel
187,Null Channel
188,Null Channel
189,Null Channel
190,Null Channel
191,Null Channel
